User_ID,Age,Income,City_Tier,Device_Type,Traffic_Source,Pages_Viewed,Products_Viewed,Time_On_Site,Previous_Purchases,Discount_Seen,Browser_Version,Campaign_Code,Converted
1,58.0,103593.70881174598,2,Mobile,Organic,5,4,9.61,3,0,11,2418,0
2,26.0,36451.71698377599,2,Mobile,Social Media,11,3,17.63,2,0,14,1213,0
3,19.0,30511.228700072752,3,Mobile,Referral,1,1,13.25,5,0,5,2849,0
4,48.0,87789.17234233979,3,Mobile,Email,14,12,,1,1,19,7610,0
5,35.0,105229.24906716625,2,Mobile,Social Media,14,21,16.92,1,0,5,9261,0
6,40.0,,2,Mobile,Paid Ads,27,30,17.1,1,0,16,8638,0
7,21.0,64908.075218287355,2,Mobile,Email,30,26,16.59,1,0,11,7266,0
8,35.0,114200.61971459203,1,Desktop,Paid Ads,7,7,2.35,1,1,23,6252,1
9,48.0,57021.61143056116,3,Mobile,Paid Ads,6,9,14.49,6,1,20,7480,1
10,35.0,66561.11785712108,1,Desktop,Organic,1,7,160.24,6,0,20,7906,1
11,,58576.79763839622,1,Tablet,Paid Ads,21,21,19.46,1,0,4,5707,0
12,55.0,40016.28783270487,2,Desktop,Organic,19,21,12.61,4,1,16,4456,0
13,51.0,64341.26390961182,1,Desktop,Organic,7,4,6.48,1,0,11,9940,0
14,61.0,66726.65253803194,1,Mobile,Organic,14,15,12.75,5,1,7,9828,0
15,52.0,66972.87187606607,3,Mobile,Paid Ads,15,14,8.29,3,1,7,2558,0
16,26.0,84063.89498905303,2,Desktop,Social Media,25,26,23.19,6,1,24,9868,1
17,59.0,55109.704460831716,3,Mobile,Organic,7,10,12.56,4,1,10,5430,0
18,49.0,101570.45397845373,2,Mobile,Social Media,16,20,19.16,2,1,14,5164,1
19,,62102.3857828914,3,Tablet,Organic,16,14,9.27,4,0,2,7318,0
20,32.0,43441.958157760935,3,Mobile,Paid Ads,12,10,4.04,2,1,6,2419,0
21,25.0,,2,Mobile,Referral,25,28,,1,1,18,4678,1
22,64.0,59401.40485550902,3,Mobile,Email,30,32,10.87,6,1,6,9800,1
23,52.0,64651.730901569594,1,Mobile,Social Media,19,19,15.23,3,0,10,2650,0
24,62.0,79966.74706060167,3,Tablet,Organic,27,24,11.67,2,1,22,1237,1
25,31.0,72978.1457099795,2,Mobile,Email,30,28,11.66,6,0,5,3743,1
26,48.0,97375.58640997755,3,Mobile,Organic,17,11,8.0,4,1,4,6003,0
27,47.0,58075.75668365442,2,Mobile,Social Media,5,8,10.16,6,1,7,1579,0
28,54.0,86510.25565570506,1,Mobile,Organic,9,7,13.5,3,0,7,3113,0
29,23.0,72240.82779910063,2,Mobile,Referral,4,2,20.26,2,1,18,2118,0
30,42.0,85846.80270001288,1,Mobile,Social Media,18,11,,1,1,5,7653,1
31,48.0,51926.28801249045,3,Mobile,Organic,21,25,,3,1,9,3947,0
32,57.0,91742.54950758562,3,Desktop,Social Media,24,24,32.26,2,0,11,3860,0
33,49.0,44723.754136167416,1,Mobile,Email,12,6,,4,1,16,8097,0
34,39.0,124927.27695637064,2,Mobile,Referral,22,22,,9,1,15,5452,0
35,40.0,31249.169476076284,2,Mobile,Paid Ads,24,23,4.67,4,1,5,1359,1
36,34.0,58303.70746559279,2,Desktop,Organic,19,23,,0,1,21,9965,0
37,25.0,67899.33920123948,2,Mobile,Paid Ads,23,22,12.8,5,1,8,7829,1
38,31.0,107670.09816694263,1,Mobile,Paid Ads,25,24,13.39,4,0,2,1149,1
39,,113184.120256029,3,Mobile,Paid Ads,30,31,8.22,2,0,12,8242,0
40,28.0,45151.05776355386,3,Mobile,Organic,8,13,23.04,2,0,16,3837,0
41,58.0,100010.06883473025,2,Mobile,Paid Ads,6,8,31.31,4,1,24,2787,0
42,43.0,34284.57336626258,1,Desktop,Paid Ads,3,4,7.61,2,1,20,9446,0
43,22.0,115363.49683722293,1,Desktop,Paid Ads,27,26,7.79,1,0,4,9172,0
44,38.0,,3,Mobile,Social Media,25,26,17.99,3,1,11,1094,0
45,,84114.37141628927,2,Desktop,Email,9,9,12.12,2,1,17,6060,0
46,49.0,75845.21163564971,3,Mobile,Social Media,5,7,11.48,4,0,2,7440,0
47,57.0,48745.517394026276,2,Desktop,Organic,11,14,12.67,5,1,11,1971,1
48,18.0,71718.53698148926,2,Tablet,Organic,17,15,15.64,4,1,20,1144,0
49,40.0,80492.46060760245,1,Tablet,Paid Ads,22,19,2.2,5,1,2,6464,0
50,39.0,40934.23894280406,2,Mobile,Paid Ads,1,1,16.83,4,0,21,4301,0
51,65.0,79945.90382928001,2,Mobile,Organic,1,7,141.95,2,0,18,9941,1
52,,66492.6417234827,1,Mobile,Paid Ads,9,9,7.39,1,1,12,1270,0
53,25.0,50831.173684251306,2,Mobile,Referral,20,24,10.5,2,0,7,5960,1
54,27.0,96276.74342180476,1,Mobile,Organic,7,9,,3,1,8,7514,0
55,40.0,,3,Desktop,Paid Ads,15,9,,2,1,17,4374,0
56,46.0,29124.256014356033,1,Mobile,Social Media,12,17,,3,0,21,3023,0
57,,87727.30914701257,3,Tablet,Social Media,22,23,11.91,2,1,6,1292,0
58,,45804.6651921732,2,Mobile,Social Media,29,28,4.31,3,0,19,1309,1
59,49.0,72571.06946612247,2,Desktop,Email,10,1,9.01,3,1,9,7568,1
60,32.0,46069.572547106116,3,Mobile,Referral,1,1,10.01,3,0,17,9080,0
61,64.0,102508.16972134393,1,Mobile,Paid Ads,9,6,11.0,2,1,8,5620,1
62,28.0,74468.38786502578,2,Mobile,Referral,9,10,14.09,2,1,24,4759,0
63,62.0,,3,Mobile,Organic,27,25,13.72,5,1,6,6194,1
64,59.0,,1,Tablet,Social Media,27,28,3.12,2,0,9,7867,0
65,63.0,,2,Mobile,Email,26,22,6.9,3,0,18,6656,1
66,,67926.80352939326,3,Desktop,Social Media,11,9,9.09,6,1,13,3037,0
67,43.0,85359.25275289986,3,Desktop,Social Media,2,5,12.82,1,0,17,1996,0
68,47.0,85751.35018858417,1,Mobile,Social Media,28,30,7.75,5,0,21,1931,1
69,27.0,108787.30787506355,2,Desktop,Social Media,21,24,21.51,4,1,14,3869,0
70,34.0,77659.1950111774,3,Mobile,Social Media,7,10,4.63,4,1,1,3483,0
71,40.0,109762.33335729458,1,Mobile,Referral,12,5,15.37,3,1,24,9305,0
72,63.0,42560.719868909204,2,Mobile,Social Media,13,8,9.93,1,1,7,6021,0
73,56.0,61382.69423471852,2,Mobile,Social Media,10,4,10.64,3,1,24,2724,0
74,45.0,45615.43374171252,2,Mobile,Organic,4,2,7.7,2,0,6,4934,0
75,46.0,74137.53494803609,1,Tablet,Organic,18,19,8.79,1,1,23,9853,0
76,38.0,46705.76369967045,1,Mobile,Social Media,20,21,8.86,6,0,22,3548,0
77,,82818.45917960767,2,Mobile,Social Media,1,3,25.84,3,1,9,9975,0
78,61.0,,2,Desktop,Paid Ads,16,18,5.92,3,1,6,9810,0
79,18.0,76398.1312404541,1,Mobile,Referral,15,17,,3,0,6,5638,0
80,33.0,77678.50889829233,2,Mobile,Paid Ads,30,32,,7,0,8,4800,1
81,37.0,62626.968633969846,2,Desktop,Paid Ads,14,16,4.44,2,0,2,7758,0
82,51.0,,3,Desktop,Organic,19,19,15.0,3,1,12,7163,1
83,37.0,122645.72113785642,1,Desktop,Paid Ads,3,1,15.27,4,0,14,8516,0
84,33.0,83518.74897207384,2,Mobile,Social Media,10,13,10.46,2,0,2,5873,0
85,21.0,74873.42778400936,2,Mobile,Paid Ads,6,13,7.2,2,0,16,5316,0
86,30.0,84208.77738013816,2,Mobile,Referral,21,25,20.9,1,0,6,9675,1
87,23.0,,1,Mobile,Social Media,1,1,,3,0,8,9695,0
88,51.0,49724.25734587356,3,Desktop,Social Media,28,33,21.46,2,1,17,7965,1
89,38.0,54283.49239381496,3,Mobile,Paid Ads,3,1,92.77,0,1,15,8245,1
90,28.0,82313.58727923954,1,Tablet,Referral,10,12,14.58,1,1,6,9933,1
91,43.0,78508.35021123193,2,Mobile,Paid Ads,6,6,10.57,0,1,5,3823,0
92,41.0,109733.36029211906,1,Tablet,Referral,5,6,5.76,3,1,12,8541,0
93,,35710.6629539069,2,Mobile,Paid Ads,9,5,,3,1,10,2843,0
94,45.0,84232.95840716189,2,Mobile,Organic,19,15,9.2,4,1,23,6625,1
95,48.0,105554.80367883577,3,Mobile,Referral,23,17,4.92,3,0,18,2799,0
96,,40788.08450412471,1,Mobile,Referral,20,16,13.84,7,1,24,2736,0
97,25.0,92296.16822941732,3,Tablet,Organic,6,4,5.26,4,1,23,8430,0
98,53.0,84830.13196454241,2,Tablet,Paid Ads,17,20,10.53,2,1,2,2270,1
99,64.0,71064.33419597159,1,Mobile,Organic,28,25,,4,1,6,5384,0
100,44.0,32495.78336506591,3,Mobile,Paid Ads,26,24,18.71,7,1,19,2409,0
101,39.0,52714.76298235507,3,Mobile,Paid Ads,13,12,,2,1,21,1851,0
102,47.0,90967.41692997981,2,Mobile,Paid Ads,17,13,25.72,0,1,19,9018,0
103,19.0,95375.9428457467,1,Mobile,Paid Ads,18,19,,1,1,3,4480,1
104,,67149.41742205457,3,Mobile,Paid Ads,6,9,15.65,1,1,1,6438,1
105,,64878.51382628418,2,Mobile,Organic,5,6,7.38,5,0,5,7043,0
106,38.0,102784.40686666878,2,Mobile,Social Media,17,17,19.27,3,0,23,7012,0
107,53.0,75229.18281283349,2,Mobile,Organic,14,12,21.45,3,0,24,6130,1
108,41.0,85090.13233402782,2,Desktop,Referral,18,17,15.55,3,1,10,4492,0
109,59.0,89153.70002121395,1,Mobile,Paid Ads,15,16,11.73,4,1,16,1291,1
110,40.0,25336.07626244407,1,Mobile,Paid Ads,17,18,4.96,1,1,5,5267,0
111,19.0,,1,Desktop,Organic,20,19,6.74,1,1,20,7807,0
112,50.0,85771.06230258533,3,Mobile,Social Media,18,15,4.39,3,0,8,1805,1
113,56.0,118947.45245605924,3,Mobile,Paid Ads,10,8,12.23,3,0,10,2253,1
114,45.0,53275.48558460126,2,Mobile,Paid Ads,25,28,8.85,1,0,6,1836,1
115,63.0,31051.992152949155,2,Mobile,Organic,19,18,14.14,3,0,20,1701,0
116,37.0,85409.14828572253,3,Mobile,Organic,16,17,15.06,5,0,16,1405,0
117,56.0,30856.878976703163,3,Mobile,Paid Ads,2,1,8.53,2,0,20,1559,0
118,18.0,54647.03438362543,2,Desktop,Paid Ads,5,5,4.56,3,1,14,2274,0
119,,,2,Mobile,Referral,12,9,17.05,4,1,5,3843,0
120,56.0,38833.890849962525,1,Mobile,Organic,4,2,,3,0,21,3164,0
121,59.0,72917.47696683214,2,Mobile,Social Media,17,15,9.64,3,1,23,7806,0
122,42.0,70278.2265771702,2,Desktop,Paid Ads,4,2,23.12,0,1,13,9602,1
123,54.0,64745.21451838233,1,Mobile,Email,23,20,14.22,1,1,12,5496,0
124,33.0,,1,Mobile,Organic,25,24,15.05,4,0,6,5095,0
125,52.0,103854.27512117376,1,Mobile,Organic,23,20,10.22,4,0,1,7910,0
